Date : 2020-07-24 14:14:19
Directory : /home/aya/Projects/bitcoin/src
Total : 1157 files,  351989 codes, 30370 comments, 31099 blanks, all 413458 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| TypeScript              |         84 |    183,301 |          0 |         72 |    183,373 |
| C++                     |        926 |    151,351 |     29,438 |     28,860 |    209,649 |
| C                       |         18 |      7,868 |        722 |        929 |      9,519 |
| JSON                    |         63 |      4,564 |          0 |        363 |      4,927 |
| Markdown                |         21 |      1,324 |          0 |        478 |      1,802 |
| Automake                |          3 |        887 |         31 |        113 |      1,031 |
| x86 and x86_64 Assembly |          1 |        829 |          0 |         85 |        914 |
| XML                     |         20 |        697 |         15 |         26 |        738 |
| HTML                    |          1 |        420 |          0 |         40 |        460 |
| YAML                    |          6 |        312 |         37 |         46 |        395 |
| Autoconf M4             |          2 |        147 |         38 |         13 |        198 |
| Objective-C++           |          3 |        134 |         20 |         35 |        189 |
| Shell Script            |          4 |         75 |         11 |          9 |         95 |
| Python                  |          1 |         59 |         58 |         26 |        143 |
| Makefile                |          3 |         21 |          0 |          3 |         24 |
| Properties              |          1 |          0 |          0 |          1 |          1 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                             |      1,157 |    351,989 |     30,370 |     31,099 |    413,458 |
| .VSCodeCounter                                                                |          2 |         60 |          0 |         13 |         73 |
| bench                                                                         |         32 |      1,670 |        191 |        391 |      2,252 |
| compat                                                                        |         11 |        481 |         86 |        122 |        689 |
| consensus                                                                     |          9 |        369 |        237 |        156 |        762 |
| crc32c                                                                        |         30 |      1,547 |        240 |        453 |      2,240 |
| crc32c/include                                                                |          1 |         45 |         15 |         30 |         90 |
| crc32c/include/crc32c                                                         |          1 |         45 |         15 |         30 |         90 |
| crc32c/src                                                                    |         23 |      1,253 |        151 |        337 |      1,741 |
| crypto                                                                        |         34 |      4,915 |        996 |        590 |      6,501 |
| crypto/ctaes                                                                  |          5 |        729 |         90 |        104 |        923 |
| index                                                                         |          6 |        892 |        215 |        263 |      1,370 |
| interfaces                                                                    |          9 |      1,731 |        329 |        314 |      2,374 |
| leveldb                                                                       |        144 |     22,370 |      3,526 |      4,623 |     30,519 |
| leveldb/benchmarks                                                            |          3 |      1,786 |        188 |        246 |      2,220 |
| leveldb/db                                                                    |         44 |     10,569 |      1,400 |      1,920 |     13,889 |
| leveldb/doc                                                                   |          5 |      1,099 |          0 |        242 |      1,341 |
| leveldb/helpers                                                               |          3 |        502 |         40 |        136 |        678 |
| leveldb/helpers/memenv                                                        |          3 |        502 |         40 |        136 |        678 |
| leveldb/include                                                               |         15 |        808 |        767 |        377 |      1,952 |
| leveldb/include/leveldb                                                       |         15 |        808 |        767 |        377 |      1,952 |
| leveldb/issues                                                                |          3 |        191 |         27 |         58 |        276 |
| leveldb/port                                                                  |          5 |        238 |         73 |         88 |        399 |
| leveldb/table                                                                 |         18 |      2,248 |        300 |        446 |      2,994 |
| leveldb/util                                                                  |         44 |      4,651 |        715 |      1,022 |      6,388 |
| logging                                                                       |          1 |         68 |         11 |         24 |        103 |
| node                                                                          |         14 |        547 |        176 |        149 |        872 |
| policy                                                                        |         10 |      1,171 |        427 |        260 |      1,858 |
| primitives                                                                    |          4 |        396 |        110 |        135 |        641 |
| qt                                                                            |        239 |    202,213 |      2,384 |      3,885 |    208,482 |
| qt/locale                                                                     |         84 |    183,301 |          0 |         72 |    183,373 |
| qt/res                                                                        |         21 |        705 |         20 |         28 |        753 |
| qt/res/movies                                                                 |          1 |          8 |          5 |          2 |         15 |
| qt/res/src                                                                    |         20 |        697 |         15 |         26 |        738 |
| qt/test                                                                       |         16 |        787 |        147 |        182 |      1,116 |
| rpc                                                                           |         19 |      8,087 |        679 |      1,111 |      9,877 |
| script                                                                        |         19 |      4,469 |      1,092 |      1,002 |      6,563 |
| secp256k1                                                                     |         73 |     16,332 |      3,163 |      2,199 |     21,694 |
| secp256k1/build-aux                                                           |          2 |        147 |         38 |         13 |        198 |
| secp256k1/build-aux/m4                                                        |          2 |        147 |         38 |         13 |        198 |
| secp256k1/contrib                                                             |          5 |        315 |        155 |         44 |        514 |
| secp256k1/include                                                             |          4 |        328 |        658 |         82 |      1,068 |
| secp256k1/src                                                                 |         57 |     15,219 |      2,305 |      2,001 |     19,525 |
| secp256k1/src/asm                                                             |          1 |        829 |          0 |         85 |        914 |
| secp256k1/src/modules                                                         |          4 |        602 |         74 |         84 |        760 |
| secp256k1/src/modules/ecdh                                                    |          2 |        141 |         26 |         38 |        205 |
| secp256k1/src/modules/recovery                                                |          2 |        461 |         48 |         46 |        555 |
| support                                                                       |          7 |        553 |        206 |        116 |        875 |
| support/allocators                                                            |          2 |         79 |         16 |         17 |        112 |
| test                                                                          |        186 |     27,966 |      2,981 |      4,613 |     35,560 |
| test/data                                                                     |          9 |      4,456 |          0 |        348 |      4,804 |
| test/fuzz                                                                     |         78 |      5,325 |        445 |        725 |      6,495 |
| test/util                                                                     |         17 |        627 |        133 |        180 |        940 |
| univalue                                                                      |         71 |      2,136 |         95 |        394 |      2,625 |
| univalue/gen                                                                  |          1 |         60 |          9 |         14 |         83 |
| univalue/include                                                              |          1 |        199 |          8 |         32 |        239 |
| univalue/lib                                                                  |          6 |      1,117 |         56 |        176 |      1,349 |
| univalue/test                                                                 |         59 |        596 |         21 |        134 |        751 |
| util                                                                          |         40 |      2,927 |        846 |        620 |      4,393 |
| wallet                                                                        |         47 |     15,978 |      2,944 |      3,080 |     22,002 |
| wallet/test                                                                   |         12 |      1,749 |        313 |        435 |      2,497 |
| zmq                                                                           |          9 |        499 |         48 |        138 |        685 |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| filename                                                                      | language                | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| /home/aya/Projects/bitcoin/src/.VSCodeCounter/details.md                      | Markdown                |         43 |          0 |          6 |         49 |
| /home/aya/Projects/bitcoin/src/.VSCodeCounter/results.md                      | Markdown                |         17 |          0 |          7 |         24 |
| /home/aya/Projects/bitcoin/src/Makefile.am                                    | Automake                |        651 |         30 |         76 |        757 |
| /home/aya/Projects/bitcoin/src/addrdb.cpp                                     | C++                     |        119 |         15 |         25 |        159 |
| /home/aya/Projects/bitcoin/src/addrdb.h                                       | C++                     |         58 |          6 |         13 |         77 |
| /home/aya/Projects/bitcoin/src/addrman.cpp                                    | C++                     |        487 |         60 |        106 |        653 |
| /home/aya/Projects/bitcoin/src/addrman.h                                      | C++                     |        407 |        161 |        105 |        673 |
| /home/aya/Projects/bitcoin/src/amount.h                                       | C++                     |          8 |         14 |          7 |         29 |
| /home/aya/Projects/bitcoin/src/arith_uint256.cpp                              | C++                     |        227 |         10 |         23 |        260 |
| /home/aya/Projects/bitcoin/src/arith_uint256.h                                | C++                     |        210 |         34 |         44 |        288 |
| /home/aya/Projects/bitcoin/src/attributes.h                                   | C++                     |         15 |          4 |          4 |         23 |
| /home/aya/Projects/bitcoin/src/banman.cpp                                     | C++                     |        175 |          7 |         31 |        213 |
| /home/aya/Projects/bitcoin/src/banman.h                                       | C++                     |         45 |         40 |         14 |         99 |
| /home/aya/Projects/bitcoin/src/base58.cpp                                     | C++                     |        139 |         20 |         14 |        173 |
| /home/aya/Projects/bitcoin/src/base58.h                                       | C++                     |         13 |         39 |         12 |         64 |
| /home/aya/Projects/bitcoin/src/bech32.cpp                                     | C++                     |        109 |         60 |         24 |        193 |
| /home/aya/Projects/bitcoin/src/bech32.h                                       | C++                     |         11 |         11 |          9 |         31 |
| /home/aya/Projects/bitcoin/src/bench/addrman.cpp                              | C++                     |         99 |          9 |         33 |        141 |
| /home/aya/Projects/bitcoin/src/bench/base58.cpp                               | C++                     |         43 |          3 |         12 |         58 |
| /home/aya/Projects/bitcoin/src/bench/bech32.cpp                               | C++                     |         24 |          3 |         10 |         37 |
| /home/aya/Projects/bitcoin/src/bench/bench.cpp                                | C++                     |        117 |          3 |         29 |        149 |
| /home/aya/Projects/bitcoin/src/bench/bench.h                                  | C++                     |         86 |         32 |         24 |        142 |
| /home/aya/Projects/bitcoin/src/bench/bench_bitcoin.cpp                        | C++                     |         62 |          3 |         16 |         81 |
| /home/aya/Projects/bitcoin/src/bench/block_assemble.cpp                       | C++                     |         47 |          4 |         12 |         63 |
| /home/aya/Projects/bitcoin/src/bench/ccoins_caching.cpp                       | C++                     |         37 |         10 |          8 |         55 |
| /home/aya/Projects/bitcoin/src/bench/chacha20.cpp                             | C++                     |         32 |          4 |          9 |         45 |
| /home/aya/Projects/bitcoin/src/bench/chacha_poly_aead.cpp                     | C++                     |         91 |         10 |         22 |        123 |
| /home/aya/Projects/bitcoin/src/bench/checkblock.cpp                           | C++                     |         36 |          6 |         11 |         53 |
| /home/aya/Projects/bitcoin/src/bench/checkqueue.cpp                           | C++                     |         53 |          9 |          8 |         70 |
| /home/aya/Projects/bitcoin/src/bench/coin_selection.cpp                       | C++                     |         85 |         17 |         14 |        116 |
| /home/aya/Projects/bitcoin/src/bench/crypto_hash.cpp                          | C++                     |         85 |          4 |         15 |        104 |
| /home/aya/Projects/bitcoin/src/bench/data.cpp                                 | C++                     |          7 |          3 |          5 |         15 |
| /home/aya/Projects/bitcoin/src/bench/data.h                                   | C++                     |         10 |          3 |          7 |         20 |
| /home/aya/Projects/bitcoin/src/bench/duplicate_inputs.cpp                     | C++                     |         52 |          4 |         16 |         72 |
| /home/aya/Projects/bitcoin/src/bench/examples.cpp                             | C++                     |         20 |          6 |          8 |         34 |
| /home/aya/Projects/bitcoin/src/bench/gcs_filter.cpp                           | C++                     |         33 |          3 |          8 |         44 |
| /home/aya/Projects/bitcoin/src/bench/hashpadding.cpp                          | C++                     |         33 |          5 |         10 |         48 |
| /home/aya/Projects/bitcoin/src/bench/lockedpool.cpp                           | C++                     |         35 |          3 |          8 |         46 |
| /home/aya/Projects/bitcoin/src/bench/mempool_eviction.cpp                     | C++                     |        120 |          7 |         15 |        142 |
| /home/aya/Projects/bitcoin/src/bench/mempool_stress.cpp                       | C++                     |         78 |          5 |          7 |         90 |
| /home/aya/Projects/bitcoin/src/bench/merkle_root.cpp                          | C++                     |         19 |          3 |          5 |         27 |
| /home/aya/Projects/bitcoin/src/bench/poly1305.cpp                             | C++                     |         28 |          4 |          9 |         41 |
| /home/aya/Projects/bitcoin/src/bench/prevector.cpp                            | C++                     |         94 |          5 |         13 |        112 |
| /home/aya/Projects/bitcoin/src/bench/rollingbloom.cpp                         | C++                     |         30 |          3 |          7 |         40 |
| /home/aya/Projects/bitcoin/src/bench/rpc_blockchain.cpp                       | C++                     |         21 |          3 |          9 |         33 |
| /home/aya/Projects/bitcoin/src/bench/rpc_mempool.cpp                          | C++                     |         29 |          3 |          9 |         41 |
| /home/aya/Projects/bitcoin/src/bench/util_time.cpp                            | C++                     |         32 |          3 |          8 |         43 |
| /home/aya/Projects/bitcoin/src/bench/verify_script.cpp                        | C++                     |         81 |          8 |         13 |        102 |
| /home/aya/Projects/bitcoin/src/bench/wallet_balance.cpp                       | C++                     |         51 |          3 |         11 |         65 |
| /home/aya/Projects/bitcoin/src/bitcoin-cli.cpp                                | C++                     |        565 |         87 |         63 |        715 |
| /home/aya/Projects/bitcoin/src/bitcoin-tx.cpp                                 | C++                     |        653 |         68 |        145 |        866 |
| /home/aya/Projects/bitcoin/src/bitcoin-wallet.cpp                             | C++                     |         95 |          6 |         19 |        120 |
| /home/aya/Projects/bitcoin/src/bitcoind.cpp                                   | C++                     |        136 |         24 |         22 |        182 |
| /home/aya/Projects/bitcoin/src/blockencodings.cpp                             | C++                     |        151 |         43 |         25 |        219 |
| /home/aya/Projects/bitcoin/src/blockencodings.h                               | C++                     |         98 |         13 |         30 |        141 |
| /home/aya/Projects/bitcoin/src/blockfilter.cpp                                | C++                     |        240 |         18 |         51 |        309 |
| /home/aya/Projects/bitcoin/src/blockfilter.h                                  | C++                     |         99 |         33 |         40 |        172 |
| /home/aya/Projects/bitcoin/src/bloom.cpp                                      | C++                     |        199 |         47 |         31 |        277 |
| /home/aya/Projects/bitcoin/src/bloom.h                                        | C++                     |         55 |         46 |         20 |        121 |
| /home/aya/Projects/bitcoin/src/chain.cpp                                      | C++                     |        128 |         24 |         20 |        172 |
| /home/aya/Projects/bitcoin/src/chain.h                                        | C++                     |        251 |         84 |         79 |        414 |
| /home/aya/Projects/bitcoin/src/chainparams.cpp                                | C++                     |        310 |         46 |         52 |        408 |
| /home/aya/Projects/bitcoin/src/chainparams.h                                  | C++                     |         76 |         39 |         17 |        132 |
| /home/aya/Projects/bitcoin/src/chainparamsbase.cpp                            | C++                     |         39 |          4 |         10 |         53 |
| /home/aya/Projects/bitcoin/src/chainparamsbase.h                              | C++                     |         23 |         23 |         12 |         58 |
| /home/aya/Projects/bitcoin/src/chainparamsseeds.h                             | C++                     |        761 |          7 |          2 |        770 |
| /home/aya/Projects/bitcoin/src/checkqueue.h                                   | C++                     |        132 |         53 |         29 |        214 |
| /home/aya/Projects/bitcoin/src/clientversion.cpp                              | C++                     |         48 |         17 |         13 |         78 |
| /home/aya/Projects/bitcoin/src/clientversion.h                                | C++                     |         25 |         14 |         15 |         54 |
| /home/aya/Projects/bitcoin/src/coins.cpp                                      | C++                     |        211 |         44 |         61 |        316 |
| /home/aya/Projects/bitcoin/src/coins.h                                        | C++                     |        157 |        148 |         61 |        366 |
| /home/aya/Projects/bitcoin/src/compat.h                                       | C++                     |         87 |          7 |         13 |        107 |
| /home/aya/Projects/bitcoin/src/compat/assumptions.h                           | C++                     |         20 |         34 |         13 |         67 |
| /home/aya/Projects/bitcoin/src/compat/byteswap.h                              | C++                     |         43 |          4 |         13 |         60 |
| /home/aya/Projects/bitcoin/src/compat/cpuid.h                                 | C++                     |         15 |          4 |          6 |         25 |
| /home/aya/Projects/bitcoin/src/compat/endian.h                                | C++                     |        198 |          6 |         38 |        242 |
| /home/aya/Projects/bitcoin/src/compat/glibc_compat.cpp                        | C++                     |         49 |          4 |         11 |         64 |
| /home/aya/Projects/bitcoin/src/compat/glibc_sanity.cpp                        | C++                     |         30 |          8 |          8 |         46 |
| /home/aya/Projects/bitcoin/src/compat/glibcxx_sanity.cpp                      | C++                     |         40 |         13 |          9 |         62 |
| /home/aya/Projects/bitcoin/src/compat/sanity.h                                | C++                     |          5 |          3 |          4 |         12 |
| /home/aya/Projects/bitcoin/src/compat/stdin.cpp                               | C++                     |         60 |          4 |          9 |         73 |
| /home/aya/Projects/bitcoin/src/compat/stdin.h                                 | C++                     |         10 |          3 |          6 |         19 |
| /home/aya/Projects/bitcoin/src/compat/strnlen.cpp                             | C++                     |         11 |          3 |          5 |         19 |
| /home/aya/Projects/bitcoin/src/compressor.cpp                                 | C++                     |        157 |         23 |         13 |        193 |
| /home/aya/Projects/bitcoin/src/compressor.h                                   | C++                     |         63 |         32 |         12 |        107 |
| /home/aya/Projects/bitcoin/src/consensus/consensus.h                          | C++                     |         14 |         11 |          8 |         33 |
| /home/aya/Projects/bitcoin/src/consensus/merkle.cpp                           | C++                     |         38 |         38 |         20 |         96 |
| /home/aya/Projects/bitcoin/src/consensus/merkle.h                             | C++                     |          9 |         11 |          8 |         28 |
| /home/aya/Projects/bitcoin/src/consensus/params.h                             | C++                     |         42 |         35 |         10 |         87 |
| /home/aya/Projects/bitcoin/src/consensus/tx_check.cpp                         | C++                     |         34 |         11 |         16 |         61 |
| /home/aya/Projects/bitcoin/src/consensus/tx_check.h                           | C++                     |          6 |          9 |          6 |         21 |
| /home/aya/Projects/bitcoin/src/consensus/tx_verify.cpp                        | C++                     |        119 |         34 |         48 |        201 |
| /home/aya/Projects/bitcoin/src/consensus/tx_verify.h                          | C++                     |         20 |         44 |         15 |         79 |
| /home/aya/Projects/bitcoin/src/consensus/validation.h                         | C++                     |         87 |         44 |         25 |        156 |
| /home/aya/Projects/bitcoin/src/core_io.h                                      | C++                     |         29 |         13 |          9 |         51 |
| /home/aya/Projects/bitcoin/src/core_memusage.h                                | C++                     |         56 |          3 |         13 |         72 |
| /home/aya/Projects/bitcoin/src/core_read.cpp                                  | C++                     |        179 |         18 |         30 |        227 |
| /home/aya/Projects/bitcoin/src/core_write.cpp                                 | C++                     |        197 |         15 |         25 |        237 |
| /home/aya/Projects/bitcoin/src/crc32c/.appveyor.yml                           | YAML                    |         26 |          5 |          7 |         38 |
| /home/aya/Projects/bitcoin/src/crc32c/.gitmodules                             | Properties              |          0 |          0 |          1 |          1 |
| /home/aya/Projects/bitcoin/src/crc32c/.travis.yml                             | YAML                    |         58 |         11 |          8 |         77 |
| /home/aya/Projects/bitcoin/src/crc32c/.ycm_extra_conf.py                      | Python                  |         59 |         58 |         26 |        143 |
| /home/aya/Projects/bitcoin/src/crc32c/CONTRIBUTING.md                         | Markdown                |         17 |          0 |          7 |         24 |
| /home/aya/Projects/bitcoin/src/crc32c/README.md                               | Markdown                |         89 |          0 |         37 |        126 |
| /home/aya/Projects/bitcoin/src/crc32c/include/crc32c/crc32c.h                 | C++                     |         45 |         15 |         30 |         90 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c.cc                           | C++                     |         27 |          3 |         10 |         40 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c_arm64.cc                     | C++                     |         86 |         14 |         27 |        127 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c_arm64.h                      | C++                     |         13 |          4 |         11 |         28 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c_arm64_linux_check.h          | C++                     |         29 |          8 |         14 |         51 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c_arm64_unittest.cc            | C++                     |         13 |          3 |          9 |         25 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c_benchmark.cc                 | C++                     |         84 |          3 |         20 |        107 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c_capi_unittest.c              | C                       |         51 |          4 |         12 |         67 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c_extend_unittests.h           | C++                     |         81 |          5 |         27 |        113 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c_internal.h                   | C++                     |          9 |          6 |          9 |         24 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c_portable.cc                  | C++                     |        309 |         16 |         27 |        352 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c_portable_unittest.cc         | C++                     |         11 |          3 |          7 |         21 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c_prefetch.h                   | C++                     |         27 |          9 |         11 |         47 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c_prefetch_unittest.cc         | C++                     |          1 |          6 |          3 |         10 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c_read_le.h                    | C++                     |         38 |          7 |          9 |         54 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c_read_le_unittest.cc          | C++                     |         17 |          5 |         11 |         33 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c_round_up.h                   | C++                     |         18 |          9 |          8 |         35 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c_round_up_unittest.cc         | C++                     |         66 |          3 |         16 |         85 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c_sse42.cc                     | C++                     |        211 |         18 |         30 |        259 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c_sse42.h                      | C++                     |         13 |         10 |         11 |         34 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c_sse42_check.h                | C++                     |         28 |          5 |         18 |         51 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c_sse42_unittest.cc            | C++                     |         13 |          3 |          9 |         25 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c_test_main.cc                 | C++                     |         15 |          3 |          5 |         23 |
| /home/aya/Projects/bitcoin/src/crc32c/src/crc32c_unittest.cc                  | C++                     |         93 |          4 |         33 |        130 |
| /home/aya/Projects/bitcoin/src/crypto/aes.cpp                                 | C++                     |        110 |         12 |         31 |        153 |
| /home/aya/Projects/bitcoin/src/crypto/aes.h                                   | C++                     |         48 |          7 |         13 |         68 |
| /home/aya/Projects/bitcoin/src/crypto/chacha20.cpp                            | C++                     |        276 |          7 |         28 |        311 |
| /home/aya/Projects/bitcoin/src/crypto/chacha20.h                              | C++                     |         18 |          9 |          8 |         35 |
| /home/aya/Projects/bitcoin/src/crypto/chacha_poly_aead.cpp                    | C++                     |         79 |         24 |         23 |        126 |
| /home/aya/Projects/bitcoin/src/crypto/chacha_poly_aead.h                      | C++                     |         22 |        113 |         12 |        147 |
| /home/aya/Projects/bitcoin/src/crypto/common.h                                | C++                     |         83 |          4 |         17 |        104 |
| /home/aya/Projects/bitcoin/src/crypto/ctaes/README.md                         | Markdown                |         27 |          0 |         15 |         42 |
| /home/aya/Projects/bitcoin/src/crypto/ctaes/bench.c                           | C                       |        152 |          0 |         19 |        171 |
| /home/aya/Projects/bitcoin/src/crypto/ctaes/ctaes.c                           | C                       |        428 |         78 |         51 |        557 |
| /home/aya/Projects/bitcoin/src/crypto/ctaes/ctaes.h                           | C++                     |         26 |          5 |         11 |         42 |
| /home/aya/Projects/bitcoin/src/crypto/ctaes/test.c                            | C                       |         96 |          7 |          8 |        111 |
| /home/aya/Projects/bitcoin/src/crypto/hkdf_sha256_32.cpp                      | C++                     |         13 |          4 |          5 |         22 |
| /home/aya/Projects/bitcoin/src/crypto/hkdf_sha256_32.h                        | C++                     |         15 |          4 |          7 |         26 |
| /home/aya/Projects/bitcoin/src/crypto/hmac_sha256.cpp                         | C++                     |         25 |          3 |          7 |         35 |
| /home/aya/Projects/bitcoin/src/crypto/hmac_sha256.h                           | C++                     |         21 |          4 |          8 |         33 |
| /home/aya/Projects/bitcoin/src/crypto/hmac_sha512.cpp                         | C++                     |         25 |          3 |          7 |         35 |
| /home/aya/Projects/bitcoin/src/crypto/hmac_sha512.h                           | C++                     |         21 |          4 |          8 |         33 |
| /home/aya/Projects/bitcoin/src/crypto/poly1305.cpp                            | C++                     |        105 |         10 |         27 |        142 |
| /home/aya/Projects/bitcoin/src/crypto/poly1305.h                              | C++                     |          9 |          3 |          6 |         18 |
| /home/aya/Projects/bitcoin/src/crypto/ripemd160.cpp                           | C++                     |        258 |         11 |         24 |        293 |
| /home/aya/Projects/bitcoin/src/crypto/ripemd160.h                             | C++                     |         18 |          4 |          7 |         29 |
| /home/aya/Projects/bitcoin/src/crypto/sha1.cpp                                | C++                     |        165 |         12 |         23 |        200 |
| /home/aya/Projects/bitcoin/src/crypto/sha1.h                                  | C++                     |         18 |          4 |          7 |         29 |
| /home/aya/Projects/bitcoin/src/crypto/sha256.cpp                              | C++                     |        640 |         25 |         59 |        724 |
| /home/aya/Projects/bitcoin/src/crypto/sha256.h                                | C++                     |         20 |         12 |          9 |         41 |
| /home/aya/Projects/bitcoin/src/crypto/sha256_avx2.cpp                         | C++                     |        297 |          8 |         24 |        329 |
| /home/aya/Projects/bitcoin/src/crypto/sha256_shani.cpp                        | C++                     |        310 |         17 |         30 |        357 |
| /home/aya/Projects/bitcoin/src/crypto/sha256_sse4.cpp                         | C++                     |        943 |        552 |         12 |      1,507 |
| /home/aya/Projects/bitcoin/src/crypto/sha256_sse41.cpp                        | C++                     |        289 |          8 |         24 |        321 |
| /home/aya/Projects/bitcoin/src/crypto/sha512.cpp                              | C++                     |        174 |         12 |         22 |        208 |
| /home/aya/Projects/bitcoin/src/crypto/sha512.h                                | C++                     |         19 |          4 |          7 |         30 |
| /home/aya/Projects/bitcoin/src/crypto/siphash.cpp                             | C++                     |        146 |          5 |         23 |        174 |
| /home/aya/Projects/bitcoin/src/crypto/siphash.h                               | C++                     |         19 |         21 |          8 |         48 |
| /home/aya/Projects/bitcoin/src/cuckoocache.h                                  | C++                     |        158 |        292 |         31 |        481 |
| /home/aya/Projects/bitcoin/src/dbwrapper.cpp                                  | C++                     |        189 |         36 |         33 |        258 |
| /home/aya/Projects/bitcoin/src/dbwrapper.h                                    | C++                     |        208 |         57 |         62 |        327 |
| /home/aya/Projects/bitcoin/src/dummywallet.cpp                                | C++                     |         80 |          3 |         17 |        100 |
| /home/aya/Projects/bitcoin/src/flatfile.cpp                                   | C++                     |         83 |          4 |         12 |         99 |
| /home/aya/Projects/bitcoin/src/flatfile.h                                     | C++                     |         39 |         33 |         19 |         91 |
| /home/aya/Projects/bitcoin/src/fs.cpp                                         | C++                     |        215 |          8 |         29 |        252 |
| /home/aya/Projects/bitcoin/src/fs.h                                           | C++                     |         64 |         18 |         14 |         96 |
| /home/aya/Projects/bitcoin/src/hash.cpp                                       | C++                     |         54 |         10 |         16 |         80 |
| /home/aya/Projects/bitcoin/src/hash.h                                         | C++                     |        148 |         20 |         35 |        203 |
| /home/aya/Projects/bitcoin/src/httprpc.cpp                                    | C++                     |        253 |         27 |         42 |        322 |
| /home/aya/Projects/bitcoin/src/httprpc.h                                      | C++                     |         12 |         19 |          6 |         37 |
| /home/aya/Projects/bitcoin/src/httpserver.cpp                                 | C++                     |        532 |         67 |         61 |        660 |
| /home/aya/Projects/bitcoin/src/httpserver.h                                   | C++                     |         61 |         66 |         24 |        151 |
| /home/aya/Projects/bitcoin/src/index/base.cpp                                 | C++                     |        238 |         27 |         65 |        330 |
| /home/aya/Projects/bitcoin/src/index/base.h                                   | C++                     |         40 |         43 |         26 |        109 |
| /home/aya/Projects/bitcoin/src/index/blockfilterindex.cpp                     | C++                     |        351 |         45 |         87 |        483 |
| /home/aya/Projects/bitcoin/src/index/blockfilterindex.h                       | C++                     |         48 |         32 |         27 |        107 |
| /home/aya/Projects/bitcoin/src/index/txindex.cpp                              | C++                     |        192 |         50 |         44 |        286 |
| /home/aya/Projects/bitcoin/src/index/txindex.h                                | C++                     |         23 |         18 |         14 |         55 |
| /home/aya/Projects/bitcoin/src/indirectmap.h                                  | C++                     |         34 |         16 |          9 |         59 |
| /home/aya/Projects/bitcoin/src/init.cpp                                       | C++                     |      1,445 |        262 |        250 |      1,957 |
| /home/aya/Projects/bitcoin/src/init.h                                         | C++                     |         24 |         35 |          9 |         68 |
| /home/aya/Projects/bitcoin/src/interfaces/README.md                           | Markdown                |          9 |          0 |          9 |         18 |
| /home/aya/Projects/bitcoin/src/interfaces/chain.cpp                           | C++                     |        355 |         19 |         15 |        389 |
| /home/aya/Projects/bitcoin/src/interfaces/chain.h                             | C++                     |        129 |        133 |         69 |        331 |
| /home/aya/Projects/bitcoin/src/interfaces/handler.cpp                         | C++                     |         31 |          3 |         13 |         47 |
| /home/aya/Projects/bitcoin/src/interfaces/handler.h                           | C++                     |         20 |          9 |         11 |         40 |
| /home/aya/Projects/bitcoin/src/interfaces/node.cpp                            | C++                     |        327 |          5 |         16 |        348 |
| /home/aya/Projects/bitcoin/src/interfaces/node.h                              | C++                     |        130 |         75 |         78 |        283 |
| /home/aya/Projects/bitcoin/src/interfaces/wallet.cpp                          | C++                     |        510 |          6 |         17 |        533 |
| /home/aya/Projects/bitcoin/src/interfaces/wallet.h                            | C++                     |        220 |         79 |         86 |        385 |
| /home/aya/Projects/bitcoin/src/key.cpp                                        | C++                     |        300 |         42 |         74 |        416 |
| /home/aya/Projects/bitcoin/src/key.h                                          | C++                     |         77 |         59 |         34 |        170 |
| /home/aya/Projects/bitcoin/src/key_io.cpp                                     | C++                     |        189 |         10 |         41 |        240 |
