Date : 2020-07-24 14:14:19
Directory : /home/aya/Projects/bitcoin/src
Total : 1157 files,  351989 codes, 30370 comments, 31099 blanks, all 413458 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| /home/aya/Projects/bitcoin/src/univalue/lib/univalue_write.cpp                | C++                     |         93 |          3 |         18 |        114 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail1.json                       | JSON                    |          1 |          0 |          1 |          2 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail10.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail11.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail12.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail13.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail14.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail15.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail16.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail17.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail18.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail19.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail2.json                       | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail20.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail21.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail22.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail23.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail24.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail25.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail26.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail27.json                      | JSON                    |          2 |          0 |          0 |          2 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail28.json                      | JSON                    |          2 |          0 |          0 |          2 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail29.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail3.json                       | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail30.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail31.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail32.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail33.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail34.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail35.json                      | JSON                    |          1 |          0 |          1 |          2 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail36.json                      | JSON                    |          1 |          0 |          1 |          2 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail37.json                      | JSON                    |          1 |          0 |          1 |          2 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail38.json                      | JSON                    |          1 |          0 |          1 |          2 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail39.json                      | JSON                    |          1 |          0 |          1 |          2 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail4.json                       | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail40.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail41.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail42.json                      | JSON                    |          1 |          0 |          1 |          2 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail44.json                      | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail45.json                      | JSON                    |          1 |          0 |          1 |          2 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail5.json                       | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail6.json                       | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail7.json                       | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail8.json                       | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/fail9.json                       | JSON                    |          1 |          0 |          0 |          1 |
| /home/aya/Projects/bitcoin/src/univalue/test/no_nul.cpp                       | C++                     |          7 |          0 |          2 |          9 |
